Specialite;nbrDem1;nbrDem2
1;Afghanistan;Kabul
2;Afghanistan;Kandahar
3;Afghanistan;Mazar-e Sharif
4;Afghanistan;Herat
5;Afghanistan;Jalalabad
6;Afghanistan;Konduz
7;Afghanistan;Ghazni
8;Afghanistan;Balkh
9;Afghanistan;Baghlan
10;Afghanistan;Gardez
11;Afghanistan;Khost
12;Afghanistan;Khanabad
13;Afghanistan;Tashqorghan
14;Afghanistan;Taloqan
15;Afghanistan;Cool urhajo
16;Afghanistan;Pol-e Khomri
17;Afghanistan;Sheberghan
18;Afghanistan;Charikar
19;Afghanistan;Sar-e Pol
20;Afghanistan;Paghman
21;Afghanistan;Samangan
22;Afghanistan;Nawab City
23;Afghanistan;Gereshk
24;Afghanistan;Farakh
25;Afghanistan;Feyzabad
26;Afghanistan;Sindand
27;Afghanistan;Andkhvoy
28;Afghanistan;Rostaq
29;Afghanistan;Qaravol
30;Afghanistan;Nahrin
31;Afghanistan;Baraki Barak
32;Afghanistan;At Khvajeh
33;Afghanistan;Eslam Qal`eh
34;Afghanistan;Karokh
35;Afghanistan;Mehtar Lam
36;Afghanistan;Kushk
37;Afghanistan;Shahrag
38;Afghanistan;Asmar
39;Afghanistan;Sang-e Charak
40;Afghanistan;Khash
41;Afghanistan;Achin
42;Afghanistan;Jabal os Saraj
43;Afghanistan;Qarqin
44;Afghanistan;Mirabad
45;Afghanistan;Zarghun Shahr
46;Afghanistan;Sangin
47;Afghanistan;Panjab
48;Afghanistan;Uruzgan
49;Afghanistan;Pul-i-Alam
50;Afghanistan;Chiras
51;Afghanistan;Hokumati Azraw
52;Afghanistan;Qareh Bagh
53;Afghanistan;Kalat-i-Ghilzai
54;Afghanistan;Ashkasham
55;Afghanistan;Jorm
56;Afghanistan;Kuhestan
57;Afghanistan;Tokzar
58;Afghanistan;Char Burj
59;Afghanistan;Lar Gerd
60;Afghanistan;Rudbar
61;Afghanistan;Farkhar
62;Afghanistan;Zendeh Jan
63;Afghanistan;Anar Darreh
64;Afghanistan;Emam Saheb
65;Afghanistan;Darzab
66;Afghanistan;`Alaqehdari Deh-e Shu
67;Afghanistan;Tagow Bay
68;Afghanistan;Darvishan
69;Afghanistan;Qarchi Gak
70;Afghanistan;Dasht-e Archi
71;Afghanistan;Qal`eh Shahr
72;Afghanistan;Zareh Sharan
73;Afghanistan;Tir Pol
74;Afghanistan;Mohmand Darrah
75;Afghanistan;Yengi Qal`eh
76;Afghanistan;Tagao
77;Afghanistan;Khandud
78;Afghanistan;Mir Bachcheh Kowt
79;Afghanistan;Dorufchah
80;Afghanistan;Dahaneh-ye Ghowri
81;Afghanistan;Lab-Sar
82;Afghanistan;Darwazkay
83;Afghanistan;Munay
84;Afghanistan;Mulkanah
85;Albania;Tirana
86;Albania;Durres
87;Albania;Elbasan
88;Albania;Vlore
89;Albania;Shkoder
90;Albania;Fier-Cifci
91;Albania;Korce
92;Albania;Berat
93;Albania;Lushnje
94;Albania;Kavaje
95;Albania;Lac
96;Albania;Gjirokaster
97;Albania;Patos Fshat
98;Albania;Kruje
99;Albania;Lezhe
100;Albania;Kucove
101;Albania;Kukes
102;Albania;Burrel
103;Albania;Sarande
104;Albania;Peshkopi
105;Albania;Cerrik
106;Albania;Shijak
107;Albania;Corovode
108;Albania;Librazhd-Qender
109;Albania;Tepelene
110;Albania;Gramsh
111;Albania;Bulqize
112;Albania;Kamez
113;Albania;Permet
114;Albania;Polican
115;Albania;Fushe-Kruje
116;Albania;Ballsh
117;Albania;Rreshen
118;Albania;Mamurras
119;Albania;Bajram Curri
120;Albania;Erseke
121;Albania;Peqin
122;Albania;Bilisht
123;Albania;Selenice
124;Albania;Roskovec
125;Albania;Puke
126;Albania;Rrogozhine
127;Albania;Vore
128;Albania;Memaliaj
129;Albania;Ura Vajgurore
130;Albania;Himare
131;Albania;Koplik
132;Albania;Perrenjas-Fshat
133;Albania;Delvine
134;Albania;Maliq
135;Albania;Libohove
136;Albania;Shengjin
137;Albania;Leskovik
138;Albania;Orikum
139;Albania;Kelcyre
140;Albania;Fushe-Arrez
141;Albania;Rubik
142;Albania;Milot
143;Albania;Kurbnesh
144;Albania;Konispol
145;Albania;Krrabe
146;Albania;Fierze
147;Albania;Klos
148;Albania;Kutreq
149;Albania;Collak
150;Albania;Ballaj
151;Albania;Kubes
152;Albania;Kurte
153;Albania;Melcize
154;Albania;Livadhet
155;Albania;Gurra e Vogel
156;Albania;Celiku
157;Albania;Kamere
158;Albania;Mal Pjec
159;Albania;Dallashi
160;Albania;Shejleret
161;Albania;Kokli
162;Albania;Shugyrk
163;Albania;Metaj
164;Albania;Marice
165;Albania;Panec
166;Albania;Balajt e Poshtem
167;Albania;Blishte
168;Albania;Shengjun
169;Albania;Rucaj
170;Albania;Kotaj
171;Albania;Peshk
172;Albania;Bize
173;Albania;Berberaj
174;Albania;Panjet
175;Albania;Ruc
176;Albania;Marice
177;Albania;Xhyre
178;Albania;Vakumona i Siperme
179;Albania;Varros
180;Albania;Tejlumaj
181;Albania;Bic
182;Albania;Gjorkaj
183;Albania;Rinas
184;Albania;Ballgjin
185;Algeria;Algiers
186;Algeria;Oran
187;Algeria;Constantine
188;Algeria;Batna
189;Algeria;Bab Ezzouar
190;Algeria;Annaba
191;Algeria;Sidi Bel Abbes
192;Algeria;Ech Chettia
193;Algeria;Bejaia
194;Algeria;Skikda
195;Algeria;El Achir
196;Algeria;Medea
197;Algeria;Bechar
198;Algeria;Tlemcen
199;Algeria;Mostaganem
200;Algeria;El Eulma
201;Algeria;Saida
202;Algeria;Guelma
203;Algeria;Bordj el Kiffan
204;Algeria;Ain Oussera
205;Algeria;Laghouat
206;Algeria;Ain Beida
207;Algeria;Baraki
208;Algeria;Oum el Bouaghi
209;Algeria;Messaad
210;Algeria;Barika
211;Algeria;Beni Mered
212;Algeria;Aflou
213;Algeria;El Khroub
214;Algeria;Rouissat
215;Algeria;Berrouaghia
216;Algeria;Ksar el Boukhari
217;Algeria;Khemis Miliana
218;Algeria;Azzaba
219;Algeria;Tamanrasset
220;Algeria;Ain Touta
221;Algeria;Cheria
222;Algeria;Birkhadem
223;Algeria;Chelghoum el Aid
224;Algeria;Sidi Aissa
225;Algeria;Larba
226;Algeria;Mila
227;Algeria;Bir el Ater
228;Algeria;Sougueur
229;Algeria;Ain Fakroun
230;Algeria;Tolga
231;Algeria;Es Senia
232;Algeria;Bir el Djir
233;Algeria;Akbou
234;Algeria;Besbes
235;Algeria;Sidi Khaled
236;Algeria;Ain Sefra
237;Algeria;Frenda
238;Algeria;Bougara
239;Algeria;Hamma Bouziane
240;Algeria;Reguiba
241;Algeria;Meftah
242;Algeria;Oued Rhiou
243;Algeria;Boufarik
244;Algeria;Sig
245;Algeria;Ksar Chellala
246;Algeria;Sidi Moussa
247;Algeria;Ras el Oued
248;Algeria;Lakhdaria
249;Algeria;Drean
250;Algeria;Reghaia
251;Algeria;Boghni
252;Algeria;Dar Chioukh
253;Algeria;Sedrata
254;Algeria;Djamaa
255;Algeria;Mansoura
256;Algeria;Telerghma
257;Algeria;Remchi
258;Algeria;Birine
259;Algeria;Sour el Ghozlane
260;Algeria;Metlili Chaamba
261;Algeria;Khemis el Khechna
262;Algeria;Timimoun
263;Algeria;I-n-Salah
264;Algeria;Touggourt
265;Algeria;Merouana
266;Algeria;Kerkera
267;Algeria;El Hadjar
268;Algeria;Beni Saf
269;Algeria;Boudouaou
270;Algeria;Berriane
271;Algeria;Oued Fodda
272;Algeria;Bou Arfa
273;Algeria;El Attaf
274;Algeria;El Affroun
275;Algeria;`Ain el Hadjel
276;Algeria;Hennaya
277;Algeria;Tazoult-Lambese
278;Algeria;Draa el Mizan
279;Algeria;Timizart
280;Algeria;Sebdou
281;Algeria;Tebesbest
282;Algeria;Souma
283;United States;New York City
284;United States;Los Angeles
285;United States;Chicago
286;United States;Houston
287;United States;Philadelphia
288;United States;Phoenix
289;United States;San Antonio
290;United States;San Diego
291;United States;Dallas
292;United States;Detroit
293;United States;San Jose
294;United States;Jacksonville
295;United States;Indianapolis
296;United States;Columbus
297;United States;San Francisco
298;United States;Austin
299;United States;Memphis
300;United States;New South Memphis
301;United States;Fort Worth
302;United States;Baltimore
303;United States;Charlotte
304;United States;Boston
305;United States;Milwaukee
306;United States;South Boston
307;United States;Seattle
308;United States;El Paso
309;United States;Denver
310;United States;Washington
311;United States;Portland
312;United States;Oklahoma City
313;United States;Nashville
314;United States;Tucson
315;United States;Albuquerque
316;United States;New Orleans
317;United States;Long Beach
318;United States;Las Vegas
319;United States;Sacramento
320;United States;Fresno
321;United States;Cleveland
322;United States;North Kansas City
323;United States;Kansas City
324;United States;Virginia Beach
325;United States;Atlanta
326;United States;Oakland
327;United States;Mesa
328;United States;Tulsa
329;United States;Omaha
330;United States;Miami
331;United States;Honolulu
332;United States;Minneapolis
333;United States;Colorado Springs
334;United States;Wichita
335;United States;Santa Ana
336;United States;West Raleigh
337;United States;Arlington
338;United States;Anaheim
339;United States;Tampa
340;United States;Saint Louis
341;United States;Pittsburgh
342;United States;Toledo
343;United States;Cincinnati
344;United States;Riverside
345;United States;Bakersfield
346;United States;Stockton
347;United States;Newark
348;United States;Buffalo
349;United States;Corpus Christi
350;United States;Aurora
351;United States;Raleigh
352;United States;Saint Paul
353;United States;Lexington-Fayette
354;United States;Anchorage
355;United States;Plano
356;United States;Saint Petersburg
357;United States;Louisville
358;United States;Lincoln
359;United States;Glendale
360;United States;Henderson
361;United States;Jersey City
362;United States;Norfolk
363;United States;Chandler
364;United States;Greensboro
365;United States;Birmingham
366;United States;Fort Wayne
367;United States;Lexington
368;United States;Hialeah
369;United States;Madison
370;United States;Baton Rouge
371;United States;Garland
372;United States;Modesto
373;United States;Paradise
374;United States;Chula Vista
375;United States;Lubbock
376;United States;Rochester
377;United States;Laredo
378;United States;Akron
379;United States;Orlando
380;United States;Durham
381;United States;North Glendale
382;United States;Scottsdale
383;Andorra;Andorra la Vella
384;Andorra;les Escaldes
385;Andorra;Encamp
386;Andorra;Sant Julia de Loria
387;Andorra;la Massana
388;Andorra;Canillo
389;Andorra;Pas de la Casa
390;Angola;Luanda
391;Angola;Huambo
392;Angola;Lobito
393;Angola;Benguela
394;Angola;Kuito
395;Angola;Lubango
396;Angola;Malanje
397;Angola;Namibe
398;Angola;Soyo
399;Angola;Cabinda
400;Angola;Uige
401;Angola;Saurimo
402;Angola;Sumbe
403;Angola;Caluquembe
404;Angola;Caxito
405;Angola;Longonjo
406;Angola;Caala
407;Angola;Luena
408;Angola;Lucapa
409;Angola;Camacupa
410;Angola;Catabola
411;Angola;Luau
412;Angola;Catumbela
413;Angola;Camabatela
414;Angola;Waku Kungo
415;Angola;Caconda
416;Angola;Ondjiva
417;Angola;Quibala
418;Angola;Chissamba
419;Angola;Leua
420;Angola;Lumeje
421;Angola;Cazage
422;Argentina;Buenos Aires
423;Argentina;Cordoba
424;Argentina;Rosario
425;Argentina;Mendoza
426;Argentina;San Miguel de Tucuman
427;Argentina;La Plata
428;Argentina;Mar del Plata
429;Argentina;Quilmes
430;Argentina;Salta
431;Argentina;Santa Fe
432;Argentina;San Juan
433;Argentina;Resistencia
434;Argentina;Santiago del Estero
435;Argentina;Corrientes
436;Argentina;Posadas
437;Argentina;San Salvador de Jujuy
438;Argentina;Bahia Blanca
439;Argentina;Parana
440;Argentina;Neuquen
441;Argentina;Formosa
442;Argentina;San Fernando del Valle de Catamarca
443;Argentina;San Luis
444;Argentina;La Rioja
445;Argentina;Rio Cuarto
446;Argentina;Concordia
447;Argentina;Comodoro Rivadavia
448;Argentina;San Nicolas de los Arroyos
449;Argentina;Santa Rosa
450;Argentina;San Rafael
451;Argentina;Tandil
452;Argentina;San Carlos de Bariloche
453;Argentina;Trelew
454;Argentina;Villa Maria
455;Argentina;Reconquista
456;Argentina;Zarate
457;Argentina;Rafaela
458;Argentina;Pergamino
459;Argentina;Olavarria
460;Argentina;Rio Gallegos
461;Argentina;Junin
462;Argentina;San Martin
463;Argentina;Presidencia Roque Saenz Pena
464;Argentina;Lujan
465;Argentina;Campana
466;Argentina;Necochea
467;Argentina;Gualeguaychu
468;Argentina;San Ramon de la Nueva Oran
469;Argentina;General Roca
470;Argentina;Venado Tuerto
471;Argentina;Goya
472;Argentina;Villa Carlos Paz
473;Argentina;Concepcion del Uruguay
474;Argentina;Puerto Madryn
475;Argentina;Tartagal
476;Argentina;San Francisco
477;Argentina;San Pedro
478;Argentina;Ushuaia
479;Argentina;Punta Alta
480;Argentina;General Pico
481;Argentina;Colegiales
482;Argentina;Obera
483;Argentina;Chivilcoy
484;Argentina;Azul
485;Argentina;Rio Tercero
486;Argentina;Mercedes
487;Argentina;Libertador General San Martin
488;Argentina;Viedma
489;Argentina;San Lorenzo
490;Argentina;Cutral-Co
491;Argentina;Tres Arroyos
492;Argentina;Villa Constitucion
493;Argentina;Alta Gracia
494;Argentina;Canada de Gomez
495;Argentina;Bell Ville
496;Argentina;Nueve de Julio
497;Argentina;Chacabuco
498;Argentina;Villa Santa Rita
499;Argentina;Gualeguay
500;Argentina;Puerto Iguazu
501;Argentina;Mercedes
502;Argentina;Coronel Suarez
503;Argentina;Rawson
504;Argentina;Dolores
505;Argentina;Victoria
506;Argentina;Lincoln
507;Argentina;Veinticinco de Mayo
508;Argentina;Clorinda
509;Argentina;Cafayate
510;Argentina;El Calafate
511;Argentina;Larroque
512;Argentina;Campo Quijano
513;Argentina;San Antonio de los Cobres
514;Argentina;Santa Rosa de Tastil
515;Argentina;Purmamarca
516;Argentina;Villa Catedral
517;Armenia;Yerevan
518;Armenia;Gyumri
519;Armenia;Vanadzor
520;Armenia;Ejmiatsin
521;Armenia;Hrazdan
522;Armenia;Abovyan
523;Armenia;Kapan
524;Armenia;Ararat
525;Armenia;Armavir
526;Armenia;Gavarr
527;Armenia;Artashat
528;Armenia;Goris
529;Armenia;Masis
530;Armenia;Ashtarak
531;Armenia;Sevan
532;Armenia;Spitak
533;Armenia;Ijevan
534;Armenia;Dilijan
535;Armenia;Alaverdi
536;Armenia;Vedi
537;Armenia;Vardenis
538;Armenia;Martuni
539;Armenia;Yeghvard
540;Armenia;Metsamor
541;Armenia;Berd
542;Armenia;Vardenik
543;Armenia;Akhuryan
544;Armenia;Tashir
545;Armenia;Byureghavan
546;Armenia;Garrni
547;Armenia;Sarukhan
548;Armenia;Chambarak
549;Armenia;Aparan
550;Armenia;Noratus
551;Armenia;Hoktember
552;Armenia;Noyemberyan
553;Armenia;Karanlukh
554;Armenia;Mrgashat
555;Armenia;Maralik
556;Armenia;Nor Geghi
557;Armenia;Oshakan
558;Armenia;Metsavan
559;Armenia;Agarak
560;Armenia;Jermuk
561;Armenia;Meghri
562;Armenia;Odzun
563;Armenia;Zovuni
564;Armenia;Azatan
565;Armenia;Prroshyan
566;Armenia;Kasakh
567;Armenia;Yeranos
568;Armenia;Avshar
569;Armenia;Lchashen
570;Armenia;Malishka
571;Armenia;Verin Getashen
572;Armenia;Nalbandyan
573;Armenia;Tsovinar
574;Armenia;Verin Artashat
575;Armenia;Shahumyan
576;Armenia;Byurakan
577;Armenia;Tsovagyugh
578;Armenia;Gandzak
579;Armenia;Arshaluys
580;Armenia;Voskevaz
581;Armenia;Aygavan
582;Armenia;Dzoragyugh
583;Armenia;Karbi
584;Armenia;Astghadzor
585;Armenia;Hovtashat
586;Armenia;Myasnikyan
587;Armenia;Haghartsin
588;Armenia;Gay
589;Armenia;Margahovit
590;Armenia;Vaghashen
591;Armenia;Aramus
592;Armenia;Artsvaberd
593;Armenia;Aygezard
594;Armenia;Berdavan
595;Armenia;Bambakashat
596;Armenia;Arteni
597;Armenia;Dalarik
598;Armenia;Jrashen
599;Armenia;Norashen
600;Armenia;Bagratashen
601;Armenia;Janfida
602;Armenia;Balahovit
603;Armenia;Marmarashen
604;Armenia;Vostan
605;Armenia;Aghavnatun
606;Armenia;Aygehovit
607;Armenia;Shnogh
608;Australia;Sydney
609;Australia;Melbourne
610;Australia;Perth
611;Australia;Adelaide
612;Australia;Brisbane
613;Australia;Gold Coast
614;Australia;Newcastle
615;Australia;Canberra
616;Australia;Wollongong
617;Australia;Geelong
618;Australia;Cairns
619;Australia;Geelong West
620;Australia;Townsville
621;Australia;Albury
622;Australia;Nowra
623;Australia;Darwin
624;Australia;Toowoomba
625;Australia;Ballarat
626;Australia;Bendigo
627;Australia;Mackay
628;Australia;Mandurah
629;Australia;Launceston
630;Australia;Rockhampton
631;Australia;Coffs Harbour
632;Australia;South Brisbane
633;Australia;Wagga Wagga
634;Australia;Bundaberg
635;Australia;Port Macquarie
636;Australia;Mildura
637;Australia;Hobart
638;Australia;Torquay
639;Australia;Mooloolaba
640;Australia;Taree
641;Australia;Cranbourne
642;Australia;Caloundra
643;Australia;Tamworth
644;Australia;Kalgoorlie
645;Australia;Shepparton
646;Australia;Melton
647;Australia;Queanbeyan
648;Australia;Wodonga
649;Australia;Lismore
650;Australia;Gladstone
651;Australia;Orange
652;Australia;Warrnambool
653;Australia;Sunbury
654;Australia;Dubbo
655;Australia;Geraldton
656;Australia;Bunbury
657;Australia;Alice Springs
658;Australia;Palmerston
659;Australia;Albany
660;Australia;Mount Gambier
661;Australia;Armidale
662;Australia;Mount Isa
663;Australia;Caboolture
664;Australia;Goulburn
665;Australia;Mornington
666;Australia;Maryborough
667;Australia;Kwinana
668;Australia;Burnie
669;Australia;Brunswick
670;Australia;Craigieburn
671;Australia;Whyalla
672;Australia;Echuca
673;Australia;Devonport
674;Australia;Roebourne
675;Australia;Hornsby
676;Australia;Katoomba
677;Australia;Surfers Paradise
678;Australia;Traralgon
679;Australia;Murray Bridge
680;Australia;Nerang
681;Australia;Forster
682;Australia;Broken Hill
683;Australia;Karratha
684;Australia;South Grafton
685;Australia;Cessnock
686;Australia;Gawler
687;Australia;Deception Bay
688;Australia;Griffith
689;Australia;Buderim
690;Australia;Nambour
691;Australia;Crafers
692;Australia;Sawtell
693;Australia;Kingston
694;Australia;Port Hedland
695;Australia;Ballina
696;Australia;Wangaratta
697;Australia;Port Augusta
698;Australia;Singleton
699;Australia;Cleveland
700;Australia;Bongaree
701;Australia;Raymond Terrace
702;Australia;Bacchus Marsh
703;Australia;Broome
704;Australia;Moe
705;Australia;Sale
706;Australia;Horsham
707;Australia;Warwick
708;Austria;Wien
709;Austria;Graz
710;Austria;Linz
711;Austria;Salzburg
712;Austria;Innsbruck
713;Austria;Klagenfurt
714;Austria;Villach
715;Austria;Wels
716;Austria;Sankt Polten
717;Austria;Dornbirn
718;Austria;Steyr
719;Austria;Wiener Neustadt
720;Austria;Feldkirch
721;Austria;Bregenz
722;Austria;Wolfsberg
723;Austria;Baden
724;Austria;Klosterneuburg
725;Austria;Leoben
726;Austria;Weinzierl bei Krems
727;Austria;Traun
728;Austria;Krems an der Donau
729;Austria;Amstetten
730;Austria;Leonding
731;Austria;Kapfenberg
732;Austria;Modling
733;Austria;Lustenau
734;Austria;Hallein
735;Austria;Braunau am Inn
736;Austria;Spittal an der Drau
737;Austria;Traiskirchen
738;Austria;Saalfelden am Steinernen Meer
739;Austria;Kufstein
740;Austria;Schwechat
741;Austria;Ternitz
742;Austria;Ansfelden
743;Austria;Stockerau
744;Austria;Feldkirchen in Karnten
745;Austria;Bad Ischl
746;Austria;Tulln
747;Austria;Hohenems
748;Austria;Perchtoldsdorf
749;Austria;Telfs
750;Austria;Bludenz
751;Austria;Gmunden
752;Austria;Bruck an der Mur
753;Austria;Sankt Veit an der Glan
754;Austria;Knittelfeld
755;Austria;Schwaz
756;Austria;Lienz
757;Austria;Vocklabruck
758;Austria;Waidhofen an der Ybbs
759;Austria;Hard
760;Austria;Zwettl Stift
761;Austria;Marchtrenk
762;Austria;Volkermarkt
763;Austria;Ried im Innkreis
764;Austria;Korneuburg
765;Austria;Rankweil
766;Austria;Neunkirchen
767;Austria;Worgl
768;Austria;Bad Voslau
769;Austria;Hollabrunn
770;Austria;Sankt Johann im Pongau
771;Austria;Sankt Andra
772;Austria;Mistelbach
773;Austria;Enns
774;Austria;Koflach
775;Austria;Gotzis
776;Austria;Bischofshofen
777;Austria;Zell am See
778;Austria;Judenburg
779;Austria;Voitsberg
780;Austria;Seekirchen Markt
781;Austria;Altmunster
782;Austria;Laakirchen
783;Austria;Ebreichsdorf
784;Austria;Murzzuschlag
785;Austria;Imst
786;Austria;Lauterach
787;Austria;Weiz
788;Austria;Neu-Guntramsdorf
789;Austria;Sankt Valentin
790;Austria;Gerasdorf bei Wien
791;Austria;Kitzbuhel
792;Austria;Velden am Worthersee
793;Austria;Berndorf
794;Austria;Gross-Enzersdorf
795;Austria;Sierning
796;Austria;Ganserndorf
797;Austria;Wiener Neudorf
798;Austria;Engerwitzdorf
799;Austria;Rum
800;Austria;Finkenstein am Faaker See
801;Austria;Ebensee
802;Austria;Purkersdorf
803;Austria;Trofaiach
804;Austria;Fohnsdorf
805;Austria;Wolfurt
806;Austria;Maria Enzersdorf
807;Austria;Deutschlandsberg
808;Azerbaijan;Baku
809;Azerbaijan;Ganca
810;Azerbaijan;Sumqayit
811;Azerbaijan;Mingacevir
812;Azerbaijan;Qaracuxur
813;Azerbaijan;Ali Bayramli
814;Azerbaijan;Bakixanov
